type,name,date,location,participants,organizer,source_url
Conference,Innovation Congress #38,2025-06-30,Saint Petersburg,457,KFU,https://example.com/event38
Seminar,Innovation Congress #39,2025-05-01,Novosibirsk,351,TSU,https://example.com/event39
Seminar,Innovation Congress #40,2025-04-09,Saint Petersburg,294,MSU,https://example.com/event40
Conference,Innovation Congress #41,2025-02-28,Yekaterinburg,411,UrFU,https://example.com/event41
Conference,Innovation Congress #42,2025-04-24,Kazan,158,KFU,https://example.com/event42
Olympiad,Future Tech Expo #43,2025-03-21,Novosibirsk,194,UrFU,https://example.com/event43
Seminar,Science Forum #44,2025-08-21,Novosibirsk,226,MSU,https://example.com/event44
Olympiad,Science Forum #45,2025-03-22,Saint Petersburg,434,NSU,https://example.com/event45
Conference,Science Forum #46,2025-08-02,Saint Petersburg,437,NSU,https://example.com/event46
Olympiad,Science Forum #47,2025-04-18,Yekaterinburg,102,NSU,https://example.com/event47
Seminar,Future Tech Expo #48,2025-10-09,Kazan,150,KFU,https://example.com/event48
Conference,Science Forum #49,2025-07-21,Saint Petersburg,237,KFU,https://example.com/event49
Olympiad,Future Tech Expo #50,2025-01-17,Saint Petersburg,112,NSU,https://example.com/event50
Conference,Innovation Congress #51,2025-10-17,Novosibirsk,290,KFU,https://example.com/event51
Seminar,Science Forum #52,2025-10-09,Yekaterinburg,224,TSU,https://example.com/event52
Conference,Future Tech Expo #53,2025-10-15,Novosibirsk,422,UrFU,https://example.com/event53
Conference,Science Forum #54,2025-05-05,Yekaterinburg,369,NSU,https://example.com/event54
Olympiad,Science Forum #55,2025-10-09,Moscow,98,KFU,https://example.com/event55
Conference,Science Forum #56,2025-07-17,Saint Petersburg,361,KFU,https://example.com/event56
Olympiad,Future Tech Expo #57,2025-10-27,Novosibirsk,314,SPbU,https://example.com/event57
Seminar,Future Tech Expo #58,2025-09-11,Yekaterinburg,312,SPbU,https://example.com/event58
Seminar,Future Tech Expo #59,2025-05-02,Yekaterinburg,79,KFU,https://example.com/event59
Conference,Science Forum #60,2025-07-16,Novosibirsk,500,UrFU,https://example.com/event60
Conference,Innovation Congress #61,2025-05-28,Novosibirsk,126,SPbU,https://example.com/event61
Olympiad,Innovation Congress #62,2025-06-11,Moscow,191,SPbU,https://example.com/event62
Seminar,Science Forum #63,2025-02-03,Moscow,244,UrFU,https://example.com/event63
Seminar,Science Forum #64,2025-10-25,Yekaterinburg,363,SPbU,https://example.com/event64
Seminar,Science Forum #65,2025-04-06,Kazan,362,MSU,https://example.com/event65
Conference,Innovation Congress #66,2025-04-21,Yekaterinburg,419,MSU,https://example.com/event66
Olympiad,Science Forum #67,2025-07-14,Kazan,276,NSU,https://example.com/event67
Conference,Future Tech Expo #68,2025-06-21,Moscow,218,UrFU,https://example.com/event68
Seminar,Science Forum #69,2025-06-25,Yekaterinburg,53,KFU,https://example.com/event69
Conference,Innovation Congress #70,2025-01-29,Yekaterinburg,284,KFU,https://example.com/event70
Seminar,Science Forum #71,2025-10-07,Novosibirsk,64,MSU,https://example.com/event71
Seminar,Innovation Congress #72,2025-11-19,Novosibirsk,57,SPbU,https://example.com/event72
Olympiad,Future Tech Expo #73,2025-02-28,Kazan,494,SPbU,https://example.com/event73
Seminar,Future Tech Expo #74,2025-02-11,Kazan,306,KFU,https://example.com/event74
Conference,Science Forum #75,2025-06-10,Saint Petersburg,314,NSU,https://example.com/event75
Conference,Future Tech Expo #76,2025-10-03,Kazan,408,SPbU,https://example.com/event76
Seminar,Innovation Congress #77,2025-03-24,Yekaterinburg,405,NSU,https://example.com/event77
Conference,Future Tech Expo #78,2025-02-16,Saint Petersburg,457,MSU,https://example.com/event78
Olympiad,Innovation Congress #79,2025-10-28,Kazan,442,SPbU,https://example.com/event79
Olympiad,Future Tech Expo #80,2025-09-04,Kazan,67,MSU,https://example.com/event80
Seminar,Innovation Congress #81,2025-08-25,Moscow,294,MSU,https://example.com/event81
Conference,Science Forum #82,2025-09-05,Yekaterinburg,148,NSU,https://example.com/event82
Seminar,Innovation Congress #83,2025-06-08,Saint Petersburg,228,SPbU,https://example.com/event83
Olympiad,Innovation Congress #84,2025-02-12,Moscow,436,SPbU,https://example.com/event84
Olympiad,Future Tech Expo #85,2025-10-23,Novosibirsk,115,MSU,https://example.com/event85
Seminar,Innovation Congress #86,2025-02-26,Saint Petersburg,400,NSU,https://example.com/event86
Olympiad,Future Tech Expo #87,2025-03-04,Moscow,395,NSU,https://example.com/event87
